,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategori_penumpang
384,2021,6,Mikrotrans,JAK.54,Grogol - Benhil,40997,Ramai Penumpang
385,2021,6,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,39339,Sepi penumpang
386,2021,6,Mikrotrans,JAK.52,Kalideres - Muara Angke,65733,Ramai Penumpang
387,2021,6,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,108644,Padat Penumpang
388,2021,6,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69534,Ramai Penumpang
389,2021,6,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,43143,Ramai Penumpang
390,2021,6,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,53892,Ramai Penumpang
391,2021,6,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,82501,Padat Penumpang
392,2021,6,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,57551,Ramai Penumpang
393,2021,6,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,68704,Ramai Penumpang
394,2021,6,Mikrotrans,JAK.43,Tongtek - Cililitan,92420,Padat Penumpang
395,2021,6,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,69476,Ramai Penumpang
396,2021,6,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,40724,Ramai Penumpang
397,2021,6,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,47087,Ramai Penumpang
398,2021,6,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,63562,Ramai Penumpang
399,2021,6,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,54526,Ramai Penumpang
400,2021,6,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,56898,Ramai Penumpang
401,2021,6,Mikrotrans,JAK.36,Cilangkap - Cililitan,86425,Padat Penumpang
402,2021,6,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,36012,Sepi penumpang
403,2021,6,Mikrotrans,JAK.34,Rawamangun - Klender,75158,Padat Penumpang
404,2021,6,Mikrotrans,JAK.33,Pulo Gadung - Kota,56710,Ramai Penumpang
405,2021,6,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,92744,Padat Penumpang
406,2021,6,Mikrotrans,JAK.31,Blok M - Andara,65838,Ramai Penumpang
407,2021,6,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,147239,Padat Penumpang
408,2021,6,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,116097,Padat Penumpang
409,2021,6,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,67277,Ramai Penumpang
410,2021,6,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,49619,Ramai Penumpang
411,2021,6,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,42770,Ramai Penumpang
412,2021,6,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,64095,Ramai Penumpang
413,2021,6,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,82803,Padat Penumpang
414,2021,6,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,34486,Sepi penumpang
415,2021,6,Mikrotrans,JAK.21,Cililitan - Dwikora,63804,Ramai Penumpang
416,2021,6,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,67727,Ramai Penumpang
417,2021,6,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,115017,Padat Penumpang
418,2021,6,Mikrotrans,JAK.18,Kalibata - Kuningan,35311,Sepi penumpang
419,2021,6,Mikrotrans,JAK.17,Senen - Pulo Gadung,42227,Ramai Penumpang
420,2021,6,Mikrotrans,JAK.16,Cililitan - Condet,76292,Padat Penumpang
421,2021,6,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,131981,Padat Penumpang
422,2021,6,Mikrotrans,JAK.14,Tanah Abang - Meruya,89403,Padat Penumpang
423,2021,6,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,18790,Sepi penumpang
424,2021,6,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,70817,Padat Penumpang
425,2021,6,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,86067,Padat Penumpang
426,2021,6,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,54658,Ramai Penumpang
427,2021,6,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,78127,Padat Penumpang
428,2021,6,Mikrotrans,JAK.10,Tanah Abang - Kota,50663,Ramai Penumpang
429,2021,6,Mikrotrans,JAK.09,Roxy Mas - Karet,23423,Sepi penumpang
430,2021,6,Mikrotrans,JAK.08,Roxy - Benhil,38072,Sepi penumpang
431,2021,6,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,57293,Ramai Penumpang
432,2021,6,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,81073,Padat Penumpang
433,2021,6,Mikrotrans,JAK.05,Semper - Rorotan,77085,Padat Penumpang
434,2021,6,Mikrotrans,JAK.04,Grogol - Tubagus Angke,58619,Ramai Penumpang
435,2021,6,Mikrotrans,JAK.03,Lebak Bulus - Andara,36032,Sepi penumpang
436,2021,6,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,49639,Ramai Penumpang
437,2021,6,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,62146,Ramai Penumpang
490,2021,1,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,1473,Sepi penumpang
491,2021,1,Mikrotrans,JAK.85,Bintara - Cipinang Indah,20280,Sepi penumpang
492,2021,1,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,28779,Sepi penumpang
493,2021,1,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,54998,Ramai Penumpang
494,2021,1,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,60284,Ramai Penumpang
495,2021,1,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,48220,Ramai Penumpang
496,2021,1,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,38572,Sepi penumpang
497,2021,1,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,65087,Ramai Penumpang
498,2021,1,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,85416,Padat Penumpang
499,2021,1,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,62822,Ramai Penumpang
500,2021,1,Mikrotrans,JAK.64,Lenteng Agung - Aseli,36802,Sepi penumpang
501,2021,1,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,36899,Sepi penumpang
502,2021,1,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,72704,Padat Penumpang
503,2021,1,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,90624,Padat Penumpang
504,2021,1,Mikrotrans,JAK.58,Cilingcing - Rorotan,96030,Padat Penumpang
505,2021,1,Mikrotrans,JAK.56,Grogol - Srengseng,50223,Ramai Penumpang
506,2021,1,Mikrotrans,JAK.54,Grogol - Benhil,25049,Sepi penumpang
507,2021,1,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,20947,Sepi penumpang
508,2021,1,Mikrotrans,JAK.52,Kalideres - Muara Angke,42875,Ramai Penumpang
509,2021,1,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,96336,Padat Penumpang
510,2021,1,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,61171,Ramai Penumpang
511,2021,1,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,36662,Sepi penumpang
512,2021,1,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,39551,Sepi penumpang
513,2021,1,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,59975,Ramai Penumpang
514,2021,1,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,47171,Ramai Penumpang
515,2021,1,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,53202,Ramai Penumpang
516,2021,1,Mikrotrans,JAK.43,Tongtek - Cililitan,74225,Padat Penumpang
517,2021,1,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,50456,Ramai Penumpang
518,2021,1,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,21109,Sepi penumpang
519,2021,1,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,41797,Ramai Penumpang
520,2021,1,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,54414,Ramai Penumpang
521,2021,1,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,43994,Ramai Penumpang
522,2021,1,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,46026,Ramai Penumpang
523,2021,1,Mikrotrans,JAK.36,Cilangkap - Cililitan,87842,Padat Penumpang
524,2021,1,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,29321,Sepi penumpang
525,2021,1,Mikrotrans,JAK.34,Rawamangun - Klender,68848,Ramai Penumpang
526,2021,1,Mikrotrans,JAK.33,Pulo Gadung - Kota,46531,Ramai Penumpang
527,2021,1,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,83768,Padat Penumpang
528,2021,1,Mikrotrans,JAK.31,Blok M - Andara,55577,Ramai Penumpang
529,2021,1,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,128066,Padat Penumpang
530,2021,1,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,105832,Padat Penumpang
531,2021,1,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,63490,Ramai Penumpang
532,2021,1,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47626,Ramai Penumpang
533,2021,1,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,36715,Sepi penumpang
534,2021,1,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,56614,Ramai Penumpang
535,2021,1,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,68914,Ramai Penumpang
536,2021,1,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,26467,Sepi penumpang
537,2021,1,Mikrotrans,JAK.21,Cililitan - Dwikora,56815,Ramai Penumpang
538,2021,1,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,59451,Ramai Penumpang
539,2021,1,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,103680,Padat Penumpang
540,2021,1,Mikrotrans,JAK.18,Kalibata - Kuningan,29032,Sepi penumpang
541,2021,1,Mikrotrans,JAK.17,Senen - Pulo Gadung,33859,Sepi penumpang
542,2021,1,Mikrotrans,JAK.16,Cililitan - Condet,55944,Ramai Penumpang
543,2021,1,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,118715,Padat Penumpang
544,2021,1,Mikrotrans,JAK.14,Tanah Abang - Meruya,74084,Padat Penumpang
545,2021,1,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,14490,Sepi penumpang
546,2021,1,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,65016,Ramai Penumpang
547,2021,1,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,67367,Ramai Penumpang
548,2021,1,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,52710,Ramai Penumpang
549,2021,1,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,72135,Padat Penumpang
550,2021,1,Mikrotrans,JAK.10,Tanah Abang - Kota,48001,Ramai Penumpang
551,2021,1,Mikrotrans,JAK.09,Roxy Mas - Karet,19924,Sepi penumpang
552,2021,1,Mikrotrans,JAK.08,Roxy - Benhil,22289,Sepi penumpang
553,2021,1,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,41856,Ramai Penumpang
554,2021,1,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,73456,Padat Penumpang
555,2021,1,Mikrotrans,JAK.05,Semper - Rorotan,68172,Ramai Penumpang
556,2021,1,Mikrotrans,JAK.04,Grogol - Tubagus Angke,45679,Ramai Penumpang
557,2021,1,Mikrotrans,JAK.03,Lebak Bulus - Andara,31712,Sepi penumpang
558,2021,1,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,44415,Ramai Penumpang
559,2021,1,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,56172,Ramai Penumpang
610,2021,5,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,29592,Sepi penumpang
611,2021,5,Mikrotrans,JAK.85,Bintara - Cipinang Indah,28069,Sepi penumpang
612,2021,5,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40355,Ramai Penumpang
613,2021,5,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66030,Ramai Penumpang
614,2021,5,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,62948,Ramai Penumpang
615,2021,5,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,46434,Ramai Penumpang
616,2021,5,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,43117,Ramai Penumpang
617,2021,5,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,74041,Padat Penumpang
618,2021,5,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,98840,Padat Penumpang
619,2021,5,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,63711,Ramai Penumpang
620,2021,5,Mikrotrans,JAK.64,Lenteng Agung - Aseli,44437,Ramai Penumpang
621,2021,5,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,37132,Sepi penumpang
622,2021,5,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382,Padat Penumpang
623,2021,5,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,88187,Padat Penumpang
624,2021,5,Mikrotrans,JAK.58,Cilingcing - Rorotan,96611,Padat Penumpang
625,2021,5,Mikrotrans,JAK.56,Grogol - Srengseng,52740,Ramai Penumpang
626,2021,5,Mikrotrans,JAK.54,Grogol - Benhil,39288,Sepi penumpang
627,2021,5,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35808,Sepi penumpang
628,2021,5,Mikrotrans,JAK.52,Kalideres - Muara Angke,57570,Ramai Penumpang
629,2021,5,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,97315,Padat Penumpang
630,2021,5,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,67209,Ramai Penumpang
631,2021,5,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,42656,Ramai Penumpang
632,2021,5,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,52794,Ramai Penumpang
633,2021,5,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,82255,Padat Penumpang
634,2021,5,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,56396,Ramai Penumpang
635,2021,5,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64791,Ramai Penumpang
636,2021,5,Mikrotrans,JAK.43,Tongtek - Cililitan,91303,Padat Penumpang
637,2021,5,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,67202,Ramai Penumpang
638,2021,5,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,39978,Ramai Penumpang
639,2021,5,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,44007,Ramai Penumpang
640,2021,5,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,64356,Ramai Penumpang
641,2021,5,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,51306,Ramai Penumpang
642,2021,5,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,58115,Ramai Penumpang
643,2021,5,Mikrotrans,JAK.36,Cilangkap - Cililitan,90157,Padat Penumpang
644,2021,5,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,34739,Sepi penumpang
645,2021,5,Mikrotrans,JAK.34,Rawamangun - Klender,79082,Padat Penumpang
646,2021,5,Mikrotrans,JAK.33,Pulo Gadung - Kota,48601,Ramai Penumpang
647,2021,5,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,88819,Padat Penumpang
648,2021,5,Mikrotrans,JAK.31,Blok M - Andara,63954,Ramai Penumpang
649,2021,5,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,136430,Padat Penumpang
650,2021,5,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,108161,Padat Penumpang
651,2021,5,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,67506,Ramai Penumpang
652,2021,5,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47707,Ramai Penumpang
653,2021,5,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,43724,Ramai Penumpang
654,2021,5,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62075,Ramai Penumpang
655,2021,5,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,73953,Padat Penumpang
656,2021,5,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,32690,Sepi penumpang
657,2021,5,Mikrotrans,JAK.21,Cililitan - Dwikora,61989,Ramai Penumpang
658,2021,5,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,64374,Ramai Penumpang
659,2021,5,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,115780,Padat Penumpang
660,2021,5,Mikrotrans,JAK.18,Kalibata - Kuningan,35873,Sepi penumpang
661,2021,5,Mikrotrans,JAK.17,Senen - Pulo Gadung,39786,Sepi penumpang
662,2021,5,Mikrotrans,JAK.16,Cililitan - Condet,71832,Padat Penumpang
663,2021,5,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,129203,Padat Penumpang
664,2021,5,Mikrotrans,JAK.14,Tanah Abang - Meruya,83600,Padat Penumpang
665,2021,5,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,17058,Sepi penumpang
666,2021,5,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,65327,Ramai Penumpang
667,2021,5,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,85211,Padat Penumpang
668,2021,5,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,49628,Ramai Penumpang
669,2021,5,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,69701,Ramai Penumpang
670,2021,5,Mikrotrans,JAK.10,Tanah Abang - Kota,49104,Ramai Penumpang
671,2021,5,Mikrotrans,JAK.09,Roxy Mas - Karet,19727,Sepi penumpang
672,2021,5,Mikrotrans,JAK.08,Roxy - Benhil,29436,Sepi penumpang
673,2021,5,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,49450,Ramai Penumpang
674,2021,5,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82681,Padat Penumpang
675,2021,5,Mikrotrans,JAK.05,Semper - Rorotan,72159,Padat Penumpang
676,2021,5,Mikrotrans,JAK.04,Grogol - Tubagus Angke,51092,Ramai Penumpang
677,2021,5,Mikrotrans,JAK.03,Lebak Bulus - Andara,34997,Sepi penumpang
678,2021,5,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,51453,Ramai Penumpang
679,2021,5,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,62646,Ramai Penumpang
735,2021,12,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,43967,Ramai Penumpang
736,2021,12,Mikrotrans,JAK.85,Bintara - Cipinang Indah,40103,Ramai Penumpang
737,2021,12,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,59193,Ramai Penumpang
738,2021,12,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,70475,Padat Penumpang
739,2021,12,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,77697,Padat Penumpang
740,2021,12,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,62086,Ramai Penumpang
741,2021,12,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,58622,Ramai Penumpang
742,2021,12,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,86917,Padat Penumpang
743,2021,12,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,104712,Padat Penumpang
744,2021,12,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,69365,Ramai Penumpang
745,2021,12,Mikrotrans,JAK.64,Lenteng Agung - Aseli,66235,Ramai Penumpang
746,2021,12,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,47929,Ramai Penumpang
747,2021,12,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,70382,Padat Penumpang
748,2021,12,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,81467,Padat Penumpang
749,2021,12,Mikrotrans,JAK.58,Cilingcing - Rorotan,114592,Padat Penumpang
750,2021,12,Mikrotrans,JAK.56,Grogol - Srengseng,60415,Ramai Penumpang
751,2021,12,Mikrotrans,JAK.54,Grogol - Benhil,57178,Ramai Penumpang
752,2021,12,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,68275,Ramai Penumpang
753,2021,12,Mikrotrans,JAK.52,Kalideres - Muara Angke,86276,Padat Penumpang
754,2021,12,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,124003,Padat Penumpang
755,2021,12,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,79329,Padat Penumpang
756,2021,12,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,53972,Ramai Penumpang
757,2021,12,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,68695,Ramai Penumpang
758,2021,12,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,109328,Padat Penumpang
759,2021,12,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,59932,Ramai Penumpang
760,2021,12,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,82948,Padat Penumpang
761,2021,12,Mikrotrans,JAK.43,Tongtek - Cililitan,104353,Padat Penumpang
762,2021,12,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,95485,Padat Penumpang
763,2021,12,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,57059,Ramai Penumpang
764,2021,12,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,49918,Ramai Penumpang
765,2021,12,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,75170,Padat Penumpang
766,2021,12,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,56049,Ramai Penumpang
767,2021,12,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,71809,Padat Penumpang
768,2021,12,Mikrotrans,JAK.36,Cilangkap - Cililitan,88277,Padat Penumpang
769,2021,12,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,37850,Sepi penumpang
770,2021,12,Mikrotrans,JAK.34,Rawamangun - Klender,75763,Padat Penumpang
771,2021,12,Mikrotrans,JAK.33,Pulo Gadung - Kota,64986,Ramai Penumpang
772,2021,12,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,96339,Padat Penumpang
773,2021,12,Mikrotrans,JAK.31,Blok M - Andara,80726,Padat Penumpang
774,2021,12,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,167782,Padat Penumpang
775,2021,12,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,146329,Padat Penumpang
776,2021,12,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,81435,Padat Penumpang
777,2021,12,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,65717,Ramai Penumpang
778,2021,12,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,51285,Ramai Penumpang
779,2021,12,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,64243,Ramai Penumpang
780,2021,12,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,101816,Padat Penumpang
781,2021,12,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,22786,Sepi penumpang
782,2021,12,Mikrotrans,JAK.21,Cililitan - Dwikora,76970,Padat Penumpang
783,2021,12,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,62477,Ramai Penumpang
784,2021,12,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,110771,Padat Penumpang
785,2021,12,Mikrotrans,JAK.18,Kalibata - Kuningan,43349,Ramai Penumpang
786,2021,12,Mikrotrans,JAK.17,Senen - Pulo Gadung,62285,Ramai Penumpang
787,2021,12,Mikrotrans,JAK.16,Cililitan - Condet,90254,Padat Penumpang
788,2021,12,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,152585,Padat Penumpang
789,2021,12,Mikrotrans,JAK.14,Tanah Abang - Meruya,125777,Padat Penumpang
790,2021,12,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,24193,Sepi penumpang
791,2021,12,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,78580,Padat Penumpang
792,2021,12,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,106506,Padat Penumpang
793,2021,12,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,70986,Padat Penumpang
794,2021,12,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,87568,Padat Penumpang
795,2021,12,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,4085,Sepi penumpang
796,2021,12,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,33992,Sepi penumpang
797,2021,12,Mikrotrans,JAK.10,Tanah Abang - Kota,62581,Ramai Penumpang
798,2021,12,Mikrotrans,JAK.09,Roxy Mas - Karet,33555,Sepi penumpang
799,2021,12,Mikrotrans,JAK.08,Roxy - Benhil,50409,Ramai Penumpang
800,2021,12,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,69904,Ramai Penumpang
801,2021,12,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,70907,Padat Penumpang
802,2021,12,Mikrotrans,JAK.05,Semper - Rorotan,74100,Padat Penumpang
803,2021,12,Mikrotrans,JAK.04,Grogol - Tubagus Angke,57870,Ramai Penumpang
804,2021,12,Mikrotrans,JAK.03,Lebak Bulus - Andara,43991,Ramai Penumpang
805,2021,12,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,59985,Ramai Penumpang
806,2021,12,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,75915,Padat Penumpang
857,2021,9,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,21569,Sepi penumpang
858,2021,9,Mikrotrans,JAK.85,Bintara - Cipinang Indah,23109,Sepi penumpang
859,2021,9,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,36842,Sepi penumpang
860,2021,9,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,46648,Ramai Penumpang
861,2021,9,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,48302,Ramai Penumpang
862,2021,9,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,35365,Sepi penumpang
863,2021,9,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,30072,Sepi penumpang
864,2021,9,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,59539,Ramai Penumpang
865,2021,9,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,64779,Ramai Penumpang
866,2021,9,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,48561,Ramai Penumpang
867,2021,9,Mikrotrans,JAK.64,Lenteng Agung - Aseli,40201,Ramai Penumpang
868,2021,9,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,25171,Sepi penumpang
